transaction_id,processor_name,amount,currency,status,merchant_id,transaction_date,reference_number,fee
TXN_PAYPAL_20251008_0005,paypal,8.99,USD,completed,MERCH_005,2025-10-08 09:40:21.316409,REF_PAYPAL_5,0.56
TXN_PAYPAL_20251008_0013,paypal,299.99,USD,completed,MERCH_013,2025-10-08 09:40:21.317124,REF_PAYPAL_13,9.00
TXN_PAYPAL_20251008_0016,paypal,1.99,USD,completed,MERCH_016,2025-10-08 09:40:21.317516,REF_PAYPAL_16,0.36
TXN_PAYPAL_20251008_0019,paypal,9.99,USD,completed,MERCH_019,2025-10-08 09:40:21.317710,REF_PAYPAL_19,0.59
TXN_PAYPAL_20251008_0027,paypal,6.99,USD,completed,MERCH_027,2025-10-08 09:40:21.318570,REF_PAYPAL_27,0.50
TXN_PAYPAL_20251008_0031,paypal,0.79,USD,completed,MERCH_031,2025-10-08 09:40:21.318843,REF_PAYPAL_31,0.32
TXN_PAYPAL_20251008_0035,paypal,2.29,USD,completed,MERCH_035,2025-10-08 09:40:21.319414,REF_PAYPAL_35,0.37
TXN_PAYPAL_20251008_0043,paypal,59.99,USD,completed,MERCH_043,2025-10-08 09:40:21.328044,REF_PAYPAL_43,2.04
TXN_PAYPAL_20251008_0050,paypal,9.99,USD,completed,MERCH_050,2025-10-08 09:40:21.328543,REF_PAYPAL_50,0.59
TXN_PAYPAL_20251008_0066,paypal,1.99,USD,completed,MERCH_016,2025-10-08 09:40:22.413813,REF_PAYPAL_66,0.36
TXN_PAYPAL_20251008_0067,paypal,12.99,USD,completed,MERCH_017,2025-10-08 09:40:22.413867,REF_PAYPAL_67,0.68
TXN_PAYPAL_20251008_0068,paypal,8.99,USD,completed,MERCH_018,2025-10-08 09:40:22.413920,REF_PAYPAL_68,0.56
TXN_PAYPAL_20251008_0071,paypal,1.49,USD,completed,MERCH_021,2025-10-08 09:40:22.414079,REF_PAYPAL_71,0.34
TXN_PAYPAL_20251008_0075,paypal,1.29,USD,completed,MERCH_025,2025-10-08 09:40:22.414294,REF_PAYPAL_75,0.34
TXN_PAYPAL_20251008_0080,paypal,2.49,USD,completed,MERCH_030,2025-10-08 09:40:22.414556,REF_PAYPAL_80,0.37
TXN_PAYPAL_20251008_0081,paypal,0.79,USD,completed,MERCH_031,2025-10-08 09:40:22.414609,REF_PAYPAL_81,0.32
TXN_PAYPAL_20251008_0092,paypal,0.99,USD,completed,MERCH_042,2025-10-08 09:40:22.415381,REF_PAYPAL_92,0.33
TXN_PAYPAL_20251008_0094,paypal,29.99,USD,completed,MERCH_044,2025-10-08 09:40:22.415488,REF_PAYPAL_94,1.17
TXN_PAYPAL_20251008_0096,paypal,14.99,USD,completed,MERCH_046,2025-10-08 09:40:22.415709,REF_PAYPAL_96,0.73
TXN_PAYPAL_20251008_0098,paypal,7.99,USD,completed,MERCH_048,2025-10-08 09:40:22.415817,REF_PAYPAL_98,0.53
TXN_PAYPAL_20251008_0102,paypal,19.99,USD,completed,MERCH_002,2025-10-08 09:40:22.961204,REF_PAYPAL_102,0.88
TXN_PAYPAL_20251008_0109,paypal,69.99,USD,completed,MERCH_009,2025-10-08 09:40:22.961519,REF_PAYPAL_109,2.33
TXN_PAYPAL_20251008_0115,paypal,799.99,USD,completed,MERCH_015,2025-10-08 09:40:22.961896,REF_PAYPAL_115,23.50
TXN_PAYPAL_20251008_0119,paypal,9.99,USD,completed,MERCH_019,2025-10-08 09:40:22.962087,REF_PAYPAL_119,0.59
