transaction_id,processor_name,amount,currency,status,merchant_id,transaction_date,reference_number,fee
TXN_STRIPE_20251009_0014,stripe,499.99,USD,completed,MERCH_014,2025-10-09 13:15:14.490563,REF_STRIPE_14,14.80
TXN_STRIPE_20251009_0025,stripe,1.29,USD,completed,MERCH_025,2025-10-09 13:15:14.491556,REF_STRIPE_25,0.34
TXN_STRIPE_20251009_0084,stripe,7.99,USD,completed,MERCH_034,2025-10-09 13:15:14.852868,REF_STRIPE_84,0.53
TXN_STRIPE_20251009_0092,stripe,0.99,USD,completed,MERCH_042,2025-10-09 13:15:14.862732,REF_STRIPE_92,0.33
TXN_STRIPE_20251009_0094,stripe,29.99,USD,completed,MERCH_044,2025-10-09 13:15:14.862877,REF_STRIPE_94,1.17
TXN_STRIPE_20251009_0124,stripe,14.99,USD,completed,MERCH_024,2025-10-09 13:15:15.261999,REF_STRIPE_124,0.73
TXN_STRIPE_20251009_0126,stripe,0.99,USD,completed,MERCH_026,2025-10-09 13:15:15.262532,REF_STRIPE_126,0.33
TXN_STRIPE_20251009_0135,stripe,2.29,USD,completed,MERCH_035,2025-10-09 13:15:15.286458,REF_STRIPE_135,0.37
TXN_STRIPE_20251009_0148,stripe,7.99,USD,completed,MERCH_048,2025-10-09 13:15:15.287312,REF_STRIPE_148,0.53
TXN_STRIPE_20251009_0156,stripe,49.99,USD,completed,MERCH_006,2025-10-09 13:15:15.767572,REF_STRIPE_156,1.75
TXN_STRIPE_20251009_0180,stripe,2.49,USD,completed,MERCH_030,2025-10-09 13:15:15.785316,REF_STRIPE_180,0.37
TXN_STRIPE_20251009_0190,stripe,3.99,USD,completed,MERCH_040,2025-10-09 13:15:15.786966,REF_STRIPE_190,0.42
TXN_STRIPE_20251009_0193,stripe,59.99,USD,completed,MERCH_043,2025-10-09 13:15:15.787268,REF_STRIPE_193,2.04
TXN_STRIPE_20251009_0215,stripe,799.99,USD,completed,MERCH_015,2025-10-09 13:15:16.082201,REF_STRIPE_215,23.50
TXN_STRIPE_20251009_0218,stripe,8.99,USD,completed,MERCH_018,2025-10-09 13:15:16.082378,REF_STRIPE_218,0.56
TXN_STRIPE_20251009_0219,stripe,9.99,USD,completed,MERCH_019,2025-10-09 13:15:16.082435,REF_STRIPE_219,0.59
TXN_STRIPE_20251009_0232,stripe,3.49,USD,completed,MERCH_032,2025-10-09 13:15:16.084825,REF_STRIPE_232,0.40
TXN_STRIPE_20251009_0239,stripe,1.99,USD,completed,MERCH_039,2025-10-09 13:15:16.085332,REF_STRIPE_239,0.36
TXN_STRIPE_20251009_0246,stripe,14.99,USD,completed,MERCH_046,2025-10-09 13:15:16.086254,REF_STRIPE_246,0.73
TXN_STRIPE_20251009_0276,stripe,0.99,USD,completed,MERCH_026,2025-10-09 13:15:16.381319,REF_STRIPE_276,0.33
TXN_STRIPE_20251009_0277,stripe,6.99,USD,completed,MERCH_027,2025-10-09 13:15:16.381370,REF_STRIPE_277,0.50
TXN_STRIPE_20251009_0280,stripe,2.49,USD,completed,MERCH_030,2025-10-09 13:15:16.381518,REF_STRIPE_280,0.37
